,name,draft_year,prospect_gp,prospect_pim,prospect_pm,draft_round,pick_no,dob,birth_country,weight,shoots,prospect_category,amateur_league,amateur_team,200+games,birth_month,height_cm,translation_factor,eq_g,eq_a,eq_pts,oGVT,dGVT,overall_GVT,position_2
11,Calvin de Haan,2009,68,40,3,1,12,1991-01-08,CAN,175,L,North American Skater,OHL,Oshawa,1,1,182.88,0.31,2.45,16.88,19.34,0.3,-0.92,-0.6200000000000001,D
12,Zack Kassian,2009,61,136,-14,1,13,1991-01-24,CAN,226,R,North American Skater,OHL,Peterborough,1,1,190.5,0.31,8.26,13.41,21.67,-2.39,0.06,-2.33,F
13,Dmitri Kulikov,2009,61,48,2,1,14,1990-10-29,RUS,185,L,North American Skater,QMJHL,Drummondville,1,10,185.42,0.25,3.55,14.22,17.77,0.07,-1.12,-1.05,D
14,Peter Holland,2009,68,42,10,1,15,1991-01-14,CAN,189,L,North American Skater,OHL,Guelph,1,1,187.96,0.31,8.59,11.98,20.57,-2.57,0.06,-2.51,F
15,Nick Leddy,2009,49,22,0,1,16,1991-03-20,USA,179,L,North American Skater,HIGH-MN,Eden Prarie,1,3,180.34,0.41,9.72,22.87,32.59,2.19,-0.57,1.62,D
16,David Rundblad,2009,55,10,3,1,17,1990-10-08,SWE,196,R,European Skater,SWEDEN,Skelleftea,0,10,187.96,0.62,5.99,12.74,18.72,0.21,0.17,0.38,D
17,Louis Leblanc,2009,60,78,7,1,18,1991-01-26,CAN,180,R,North American Skater,USHL,Omaha,0,1,182.88,0.41,12.95,14.34,27.29,-1.45,0.16,-1.29,F
18,Chris Kreider,2009,31,10,0,1,19,1991-04-30,USA,220,L,North American Skater,HIGH-MA,Andover,1,4,190.5,0.41,33.61,22.7,56.31,3.39,0.16,3.5500000000000003,F
19,Jacob Josefson,2009,55,22,-3,1,20,1991-03-02,SWE,189,L,European Skater,SWEDEN,Djurgarden,1,3,185.42,0.62,4.6,9.96,14.56,-3.57,0.37,-3.1999999999999997,F
20,John Moore,2009,57,50,-7,1,21,1990-11-19,USA,200,L,North American Skater,USHL,Chicago,1,11,187.96,0.41,6.75,12.06,18.81,0.22,-0.57,-0.35,D
21,Jordan Schroeder,2009,35,29,17,1,22,1990-09-29,USA,175,R,North American Skater,WCHA,U. of Minnesota,0,9,172.72,0.44,10.86,26.72,37.58,0.26,0.19,0.45,F
22,Tim Erixon,2009,58,32,18,1,23,1991-02-24,USA,198,L,North American Skater,SWEDEN,Skelleftea,0,2,190.5,0.62,2.9,15.25,18.17,0.13,0.17,0.30000000000000004,D
23,Marcus Johansson,2009,52,10,4,1,24,1990-10-06,SWE,194,L,European Skater,SWEDEN,Farjestad,1,10,182.88,0.62,9.5,7.92,17.42,-3.1,0.37,-2.73,F
24,Jordan Caron,2009,60,70,12,1,25,1990-11-02,CAN,202,L,North American Skater,QMJHL,Rimouski,0,11,187.96,0.25,10.56,8.62,19.17,-2.8,0.0,-2.8,F
25,Kyle Palmieri,2009,33,51,0,1,26,1991-02-01,USA,191,R,North American Skater,USDP,USA U-18,1,2,177.8,0.41,12.62,12.62,25.23,-1.79,0.16,-1.6300000000000001,F
26,Philippe Paradis,2009,66,74,20,1,27,1991-01-02,CAN,210,L,North American Skater,QMJHL,Shawinigan,0,1,187.96,0.25,4.85,7.91,12.76,-3.87,0.0,-3.87,F
27,Dylan Olsen,2009,53,123,0,1,28,1991-01-03,USA,206,L,North American Skater,AJHL,Camrose,0,1,187.96,0.41,5.21,9.9,15.1,-0.31,-0.57,-0.8799999999999999,D
28,Carter Ashton,2009,70,93,-5,1,29,1991-04-01,CAN,205,L,North American Skater,WHL,Lethbridge,0,4,187.96,0.28,8.2,5.47,13.66,-3.72,0.03,-3.6900000000000004,F
29,Simon Despres,2009,66,74,16,1,30,1991-07-27,CAN,218,L,North American Skater,QMJHL,Saint John,0,7,193.04,0.25,0.53,7.92,8.44,-1.26,-1.12,-2.38,D
30,Landon Ferraro,2009,68,99,-23,2,32,1991-08-08,CAN,167,R,North American Skater,WHL,Red Deer,0,8,182.88,0.28,10.62,5.16,15.77,-3.37,0.03,-3.3400000000000003,F
31,Ryan O'Reilly,2009,68,26,1,2,33,1991-02-07,CAN,208,L,North American Skater,OHL,Erie,1,2,182.88,0.31,4.94,15.43,20.37,-2.6,0.06,-2.54,F
32,Carl Klingberg,2009,56,36,2,2,34,1991-01-28,SWE,226,R,European Skater,SWEDEN-JR.,Frolunda Jr.,0,1,190.5,0.41,11.4,8.42,19.82,-2.7,0.16,-2.54,F
33,Kyle Clifford,2009,60,133,1,2,35,1991-01-13,CAN,209,L,North American Skater,OHL,Barrie,1,1,187.96,0.31,5.57,4.18,9.75,-4.38,0.06,-4.32,F
34,Chris Brown,2009,62,120,3,2,36,1991-02-03,USA,191,R,North American Skater,USDP,USA U-18,0,2,187.96,0.41,8.95,8.06,17.01,-3.16,0.16,-3.0,F
35,Mat Clark,2009,63,91,21,2,37,1990-10-17,USA,218,R,North American Skater,OHL,Brampton,0,10,193.04,0.31,0.98,6.57,7.55,-1.39,-0.92,-2.31,D
36,Alex Chiasson,2009,56,101,-9,2,38,1990-10-01,CAN,187,R,North American Skater,USHL,Des Moines,1,10,193.04,0.41,8.27,16.05,24.31,-1.95,0.16,-1.79,F
37,Jakob Silfverberg,2009,46,8,-1,2,39,1990-10-13,SWE,196,R,European Skater,SWEDEN-JR.,Brynas Jr.,1,10,185.42,0.41,10.07,14.8,24.86,-1.86,0.16,-1.7000000000000002,F
38,Anton Lander,2009,55,20,-1,2,40,1991-04-24,SWE,190,L,European Skater,SWEDEN,Timra,1,4,182.88,0.62,6.97,5.42,12.38,-3.94,0.37,-3.57,F
39,Zach Budish,2009,15,12,0,2,41,1991-05-09,USA,229,R,North American Skater,HIGH-MN,Edina H.S.,0,5,187.96,0.41,26.28,24.4,50.68,2.45,0.16,2.6100000000000003,F
40,Charles-Olivier Roussel,2009,68,77,31,2,42,1991-09-13,CAN,200,R,North American Skater,QMJHL,Shawinigan,0,9,185.42,0.25,2.83,8.49,11.32,-0.85,-1.12,-1.9700000000000002,D
41,William Wrenn,2009,60,83,5,2,43,1991-03-16,USA,190,R,North American Skater,USDP,USA U-18,0,3,182.88,0.41,2.8,5.13,7.93,-1.33,-0.57,-1.9,D
42,Drew Shore,2009,62,46,5,2,44,1991-01-29,USA,190,R,North American Skater,USDP,USA U-18,0,1,187.96,0.41,7.61,14.32,21.93,-2.34,0.16,-2.1799999999999997,F
43,Jeremy Morin,2009,55,107,0,2,45,1991-04-16,USA,197,R,North American Skater,USDP,USA U-18,0,4,185.42,0.41,16.89,13.31,30.2,-0.97,0.16,-0.8099999999999999,F
44,Ethan Werek,2009,66,83,-5,2,47,1991-06-07,CAN,198,L,North American Skater,OHL,Kingston,0,6,182.88,0.31,10.37,10.37,20.75,-2.54,0.06,-2.48,F
45,Brett Ponich,2009,72,117,-19,2,48,1991-02-22,CAN,204,L,North American Skater,WHL,Portland,0,2,198.12,0.28,0.26,4.5,4.76,-1.78,-1.02,-2.8,D
46,Stefan Elliott,2009,71,26,20,2,49,1991-01-30,CAN,192,R,North American Skater,WHL,Saskatoon,0,1,185.42,0.28,4.27,10.41,14.68,-0.37,-1.02,-1.3900000000000001,D
47,Brian Dumoulin,2009,41,30,0,2,51,1991-09-06,USA,203,L,North American Skater,EJHL,Jr. Monarchs,1,9,193.04,0.41,4.9,16.1,21.0,0.54,-0.57,-0.029999999999999916,D
48,Richard Panik,2009,34,40,0,2,52,1991-02-07,SVK,218,L,European Skater,Czech Republic,Trinec,1,2,185.42,0.41,10.61,8.98,19.59,-2.73,0.16,-2.57,F
49,Anton Rodin,2009,43,36,-1,2,53,1990-11-21,SWE,185,L,European Skater,SWEDEN-JR.,Brynas Jr.,0,11,182.88,0.41,18.55,16.63,35.17,-0.14,0.16,0.01999999999999999,F
50,Eric Gelinas,2009,67,80,-9,2,54,1991-05-08,CAN,185,L,North American Skater,QMJHL,Lewiston,0,5,193.04,0.25,2.56,7.44,10.0,-1.04,-1.12,-2.16,D
51,Dmitri Orlov,2009,28,12,8,2,55,1991-07-23,RUS,203,L,European Skater,RUSSIA,Novokuznetsk,1,7,182.88,0.41,8.16,8.16,16.32,-0.13,-0.57,-0.7,D
52,Kevin Lynch,2009,63,54,11,2,56,1991-04-23,USA,190,R,North American Skater,USDP,USA U-18,0,4,185.42,0.41,10.72,10.28,21.0,-2.5,0.16,-2.34,F
53,Taylor Doherty,2009,68,140,-14,2,57,1991-03-02,CAN,221,R,North American Skater,OHL,Kingston,0,3,198.12,0.31,0.62,5.57,6.19,-1.58,-0.92,-2.5,D
54,Jesse Blacker,2009,72,61,46,2,58,1991-04-19,CAN,190,R,North American Skater,OHL,Windsor,0,4,185.42,0.31,1.19,5.02,6.21,-1.58,-0.92,-2.5,D
55,Brandon Pirri,2009,44,46,0,2,59,1991-04-10,CAN,160,L,North American Skater,OJHL,Georgetown,1,4,182.88,0.41,29.28,30.56,59.85,3.98,0.16,4.14,F
56,Tomas Tatar,2009,49,22,5,2,60,1990-12-01,SVK,185,L,European Skater,SLOVAKIA,Zvolen,1,12,177.8,0.41,4.49,5.05,9.54,-4.41,0.16,-4.25,F
57,Philip Samuelsson,2009,67,72,-1,2,61,1991-07-26,SWE,198,L,North American Skater,USHL,Chicago,0,7,190.5,0.41,0.0,11.08,11.08,-0.88,-0.57,-1.45,D
58,Tyson Barrie,2009,72,33,15,3,64,1991-07-26,CAN,188,R,North American Skater,WHL,Kelowna,1,7,177.8,0.28,3.25,11.92,15.16,-0.3,-1.02,-1.32,D
59,Joonas Nattinen,2009,54,10,22,3,65,1991-01-03,FIN,198,R,European Skater,Finland Jr.,Blues Jr.,0,1,187.96,0.41,6.14,16.36,22.5,-2.25,0.16,-2.09,F
60,Brayden McNabb,2009,67,140,-4,3,66,1991-01-21,CAN,200,L,North American Skater,WHL,Kootenay,1,1,193.04,0.28,2.83,7.35,10.18,-1.01,-1.02,-2.0300000000000002,D
61,Josh Birkholz,2009,55,52,-3,3,67,1991-03-28,USA,190,R,North American Skater,USHL,Fargo,0,3,182.88,0.41,10.7,7.64,18.34,-2.94,0.16,-2.78,F
62,Jamie Devane,2009,64,92,-3,3,68,1991-02-20,CAN,212,L,North American Skater,OHL,Plymouth,0,2,193.04,0.31,1.65,3.95,5.59,-5.07,0.06,-5.010000000000001,F
63,Reilly Smith,2009,49,44,0,3,69,1991-04-01,CAN,170,L,North American Skater,OJHL,St. Michael's,1,4,182.88,0.41,15.43,27.44,42.88,1.15,0.16,1.3099999999999998,F
64,Taylor Beck,2009,67,36,3,3,70,1991-05-13,CAN,209,R,North American Skater,OHL,Guelph,0,5,187.96,0.31,6.99,11.44,18.43,-2.93,0.06,-2.87,F
65,Troy Hesketh,2009,0,0,0,3,71,1991-07-05,USA,191,L,North American Skater,HIGH-MN,Minnetonka,0,7,187.96,0.41,,,,,-0.57,,D
66,Michael Latta,2009,65,92,-10,3,72,1991-05-25,CAN,201,R,North American Skater,OHL,Guelph,0,5,182.88,0.31,7.24,11.52,18.76,-2.87,0.06,-2.81,F
67,Alexander Urbom,2009,44,47,-6,3,73,1990-12-20,SWE,205,L,North American Skater,SWEDEN,Djurgarden,0,12,193.04,0.62,4.74,5.7,10.44,-0.97,0.17,-0.7999999999999999,D
68,Ryan Howse,2009,61,12,-24,3,74,1991-07-06,CAN,205,L,North American Skater,WHL,Chilliwack,0,7,180.34,0.28,9.86,4.14,14.0,-3.67,0.03,-3.64,F
69,Andrej Nestrasil,2009,66,67,-2,3,75,1991-02-22,CZE,200,L,North American Skater,QMJHL,Victoriaville,0,2,190.5,0.25,5.66,9.01,14.67,-3.56,0.0,-3.56,F
70,Sergei Andronov,2009,54,28,1,3,78,1989-07-19,RUS,211,L,European Skater,RUSSIA,Togliatti,0,7,187.96,0.41,5.25,2.83,8.08,-4.65,0.16,-4.49,F
71,Mac Bennett,2009,31,0,0,3,79,1991-03-25,USA,175,L,North American Skater,HIGH-CT,Hotchkiss School,0,3,180.34,0.41,8.13,27.1,35.23,2.57,-0.57,2.0,D
72,Ryan Bourque,2009,57,58,9,3,80,1991-01-03,USA,165,L,North American Skater,USDP,USA U-18,0,1,177.8,0.41,10.17,15.99,26.16,-1.64,0.16,-1.48,F
73,Cameron Abney,2009,48,103,-17,3,82,1991-05-23,CAN,198,R,North American Skater,WHL,Everett,0,5,193.04,0.28,0.4,1.21,1.61,-5.73,0.03,-5.7,F
74,Kevin Connauton,2009,40,44,-1,3,83,1990-02-23,CAN,196,L,North American Skater,CCHA,Western Michigan,1,2,185.42,0.32,3.12,4.9,8.01,-1.32,-0.88,-2.2,D
75,Nicolas Deslauriers,2009,68,80,3,3,84,1991-02-22,CAN,204,L,North American Skater,QMJHL,Rouyn-Noranda,1,2,185.42,0.25,2.75,4.75,7.5,-1.39,-1.12,-2.51,D
76,Cody Eakin,2009,54,42,18,3,85,1991-05-24,CAN,191,L,North American Skater,WHL,Swift Current,1,5,182.88,0.28,8.59,8.59,17.18,-3.14,0.03,-3.1100000000000003,F
77,Ryan Button,2009,70,43,-15,3,86,1991-03-26,CAN,185,L,North American Skater,WHL,Prince Albert,0,3,182.88,0.28,1.37,8.74,10.11,-1.02,-1.02,-2.04,D
78,Simon Bertilsson,2009,56,106,32,3,87,1991-04-19,SWE,207,L,European Skater,SWEDEN,BRYNAS,0,4,182.88,0.62,8.36,19.77,28.14,1.56,0.17,1.73,D
79,Mattias Lindstrom,2009,40,52,-1,3,88,1991-03-21,SWE,203,L,European Skater,SWEDEN-JR.,Skelleftea Jr.,0,3,193.04,0.41,6.3,3.5,9.8,-4.37,0.16,-4.21,F
80,Dan DeLisle,2009,48,14,0,3,89,1990-09-24,USA,225,L,North American Skater,HIGH-MN,Totino Grace,0,9,195.58,0.41,25.53,24.97,50.5,2.42,0.16,2.58,F
81,Gleason Fournier,2009,70,66,-7,3,90,1991-09-08,CAN,191,L,North American Skater,QMJHL,Rimouski,0,9,182.88,0.25,0.75,6.25,7.0,-1.46,-1.12,-2.58,D
82,Casey Cizikas,2009,55,39,-15,4,92,1991-02-27,CAN,190,L,North American Skater,OHL,Mississauga St. Michael's,1,2,177.8,0.31,6.13,7.66,13.79,-3.7,0.06,-3.64,F
83,Alex Hutchings,2009,63,60,27,4,93,1990-11-07,CAN,184,R,North American Skater,OHL,Barrie,0,11,177.8,0.31,11.16,11.16,22.32,-2.28,0.06,-2.2199999999999998,F
84,David Savard,2009,68,33,29,4,94,1990-10-22,CAN,212,R,North American Skater,QMJHL,Moncton,1,10,185.42,0.25,2.21,8.59,10.79,-0.92,-1.12,-2.04,D
85,Linden Vey,2009,71,20,-2,4,96,1991-07-17,CAN,194,R,North American Skater,WHL,Medicine Hat,0,7,182.88,0.28,6.59,13.18,19.78,-2.7,0.03,-2.6700000000000004,F
86,Jordan Szwarz,2009,67,76,17,4,97,1991-05-14,CAN,189,R,North American Skater,OHL,Saginaw,0,5,177.8,0.31,5.41,10.8,16.21,-3.3,0.06,-3.2399999999999998,F
87,Craig Smith,2009,54,108,32,4,98,1989-09-05,USA,189,R,North American Skater,USHL,Waterloo,1,9,182.88,0.41,11.31,19.39,30.7,-0.88,0.16,-0.72,F
88,Kyle Bigos,2009,61,132,0,4,99,1989-05-12,USA,230,R,North American Skater,BCHL,Vernon,0,5,195.58,0.41,2.86,9.65,12.52,-0.68,-0.57,-1.25,D
89,Chris Wideman,2009,39,56,11,4,100,1990-01-07,USA,177,R,North American Skater,CCHA,Miami University,1,1,177.8,0.32,0.0,11.66,11.66,-0.8,-0.88,-1.6800000000000002,D
90,Toni Rajala,2009,56,20,17,4,101,1991-03-29,FIN,167,L,European Skater,Finland Jr.,Ilves Jr.,0,3,177.8,0.41,8.5,11.0,19.51,-2.75,0.16,-2.59,F
91,Mattias Ekholm,2009,59,44,7,4,102,1990-05-24,SWE,205,L,European Skater,SWEDEN-JR.,Mora Jr.,1,5,193.04,0.41,1.99,6.36,8.35,-1.27,-0.57,-1.8399999999999999,D
92,Kris Foucault,2009,58,100,5,4,103,1990-12-12,CAN,202,L,North American Skater,WHL,Calgary,0,12,182.88,0.28,8.75,10.03,18.78,-2.87,0.03,-2.8400000000000003,F
93,Marcus Foligno,2009,65,96,-21,4,104,1991-08-10,USA,231,L,North American Skater,OHL,Sudbury,1,8,193.04,0.31,3.99,5.98,9.97,-4.34,0.06,-4.28,F
94,Justin Weller,2009,32,30,-6,4,105,1991-07-26,CAN,207,R,North American Skater,WHL,Red Deer,0,7,187.96,0.28,0.0,2.44,2.44,-2.12,-1.02,-3.14,D
95,Sami Vatanen,2009,32,46,-10,4,106,1991-06-03,FIN,167,R,European Skater,Finland Jr.,JYP Jr.,1,6,177.8,0.41,6.19,10.61,16.8,-0.06,-0.57,-0.6299999999999999,D
96,Garrett Wilson,2009,53,44,-7,4,107,1991-03-16,CAN,205,L,North American Skater,OHL,Owen Sound,0,3,187.96,0.31,6.79,7.19,13.99,-3.67,0.06,-3.61,F
97,Tyler Shattock,2009,68,82,-4,4,108,1990-02-10,CAN,190,R,North American Skater,WHL,Kamloops,0,2,187.96,0.28,6.82,8.86,15.67,-3.39,0.03,-3.3600000000000003,F
98,Alexander Avtsin,2009,72,129,0,4,109,1991-03-19,RUS,209,R,European Skater,RUSSIA-3,Dynamo Moscow 2,0,3,190.5,0.41,21.39,20.23,41.63,0.94,0.16,1.0999999999999999,F
99,Nick Oliver,2009,20,17,-3,4,110,1991-05-04,USA,191,L,North American Skater,HIGH-MN,Roseau High,0,5,187.96,0.41,7.04,15.48,22.52,-2.25,0.16,-2.09,F
100,Henrik Bjorklund,2009,49,87,20,4,111,1990-09-22,SWE,209,R,European Skater,SWEDEN,FARJESTAD,0,9,187.96,0.62,19.33,11.77,31.1,-0.82,0.37,-0.44999999999999996,F
101,Lane MacDermid,2009,70,203,22,4,112,1989-08-25,USA,205,L,North American Skater,OHL,Windsor,0,8,187.96,0.31,3.53,4.95,8.48,-4.59,0.06,-4.53,F
102,Jeremy Price,2009,55,50,0,4,113,1990-09-26,CAN,175,R,North American Skater,CJHL,Nepean,0,9,182.88,0.41,5.94,14.36,20.3,0.44,-0.57,-0.12999999999999995,D
103,Seth Helgeson,2009,58,64,-10,4,114,1990-10-08,USA,220,L,North American Skater,USHL,Sioux City,0,10,193.04,0.41,1.88,5.64,7.52,-1.39,-0.57,-1.96,D
104,Patrick Wey,2009,58,75,22,4,115,1991-03-21,USA,203,R,North American Skater,USHL,Waterloo,0,3,187.96,0.41,3.38,13.04,16.42,-0.12,-0.57,-0.69,D
105,Alexander Fallstrom,2009,52,52,0,4,116,1990-09-15,SWE,194,R,North American Skater,HIGH-MN,Shattuck-St. Mary's,0,9,187.96,0.41,18.55,21.79,40.34,0.72,0.16,0.88,F
106,Byron Froese,2009,72,30,-13,4,119,1991-03-12,CAN,189,R,North American Skater,WHL,Everett,0,3,182.88,0.28,5.02,10.04,15.07,-3.49,0.03,-3.4600000000000004,F
107,Ben Chiarot,2009,67,111,11,4,120,1991-05-09,CAN,224,L,North American Skater,OHL,Guelph,1,5,190.5,0.31,0.64,3.18,3.82,-1.92,-0.92,-2.84,D
108,Nick Petersen,2009,68,42,56,4,121,1989-05-27,CAN,191,R,North American Skater,QMJHL,Shawinigan,0,5,190.5,0.25,7.24,10.37,17.6,-3.07,0.0,-3.07,F
109,Anton Klementyev,2009,69,68,0,5,122,1990-03-25,RUS,198,R,European Skater,RUSSIA-3,Yaroslavl 2,0,3,185.42,0.41,1.67,4.34,6.01,-1.61,-0.57,-2.18,D
110,Alex Velischek,2009,45,62,0,5,123,1990-12-17,CAN,200,L,North American Skater,HIGH-NJ,Delbarton,0,12,182.88,0.41,14.11,25.77,39.88,3.23,-0.57,2.66,D
111,Cody Sol,2009,66,128,4,5,125,1991-02-11,CAN,240,L,North American Skater,OHL,Saginaw,0,2,198.12,0.31,0.32,1.9,2.22,-2.15,-0.92,-3.07,D
112,David Kolomatis,2009,67,52,-1,5,126,1989-02-25,USA,194,R,North American Skater,OHL,Owen Sound,0,2,180.34,0.31,4.43,6.89,11.32,-0.85,-0.92,-1.77,D
113,Roman Horak,2009,40,14,13,5,127,1991-05-21,CZE,189,L,North American Skater,CZREP-JR.,C. Budejovice Jr.,0,5,187.96,0.41,12.03,12.03,24.06,-1.99,0.16,-1.83,F
114,Eric Knodel,2009,67,42,0,5,128,1990-06-08,USA,225,L,North American Skater,USMAAA,Philadelphia Jr. Flyers,0,6,198.12,0.41,5.25,15.74,21.0,0.54,-0.57,-0.029999999999999916,D
115,Tomas Vincour,2009,49,23,2,5,129,1990-11-19,CZE,213,R,European Skater,WHL,Edmonton,0,11,187.96,0.28,6.51,7.28,13.8,-3.7,0.03,-3.6700000000000004,F
116,Matt Kennedy,2009,71,97,1,5,131,1989-03-04,CAN,204,R,North American Skater,OHL,Guelph,0,3,187.96,0.31,7.9,9.29,17.19,-3.13,0.06,-3.07,F
117,Gabriel Bourque,2009,60,82,-4,5,132,1990-09-23,CAN,182,L,North American Skater,QMJHL,Baie Comeau,1,9,177.8,0.25,6.09,10.8,16.88,-3.19,0.0,-3.19,F
118,Corban Knight,2009,61,55,0,5,135,1990-09-10,CAN,196,R,North American Skater,AJHL,Okotoks,0,9,185.42,0.41,13.44,15.02,28.45,-1.26,0.16,-1.1,F
119,Radoslav Illo,2009,47,37,-23,5,136,1990-01-21,SVK,198,L,European Skater,USHL,Tri-City,0,1,182.88,0.41,10.1,5.78,15.88,-3.35,0.16,-3.19,F
120,Thomas Larkin,2009,53,40,0,5,137,1990-12-31,GBR,225,R,North American Skater,HIGH-NH,Phillips-Exeter,0,12,195.58,0.41,7.81,20.32,28.13,1.55,-0.57,0.9800000000000001,D
121,Wade Megan,2009,32,18,0,5,138,1990-07-22,USA,185,L,North American Skater,HIGH-CT,South Kent School,0,7,185.42,0.41,20.14,26.87,47.01,1.83,0.16,1.99,F
122,Gabriel Dumont,2009,55,67,26,5,139,1990-10-06,CAN,175,R,North American Skater,QMJHL,Drummondville,0,10,177.8,0.25,9.05,6.34,15.4,-3.43,0.0,-3.43,F
123,Spencer Bennett,2009,60,32,0,5,141,1990-10-31,CAN,185,L,North American Skater,BCHL,Surrey,0,10,190.5,0.41,9.12,9.57,18.69,-2.88,0.16,-2.7199999999999998,F
124,Peter Andersson,2009,41,46,1,5,143,1991-04-13,SWE,203,L,European Skater,SWEDEN-JR.,Frolunda Jr.,0,4,193.04,0.41,2.05,4.1,6.15,-1.59,-0.57,-2.16,D
125,Derek Rodwell,2009,41,69,0,5,144,1990-07-08,CAN,195,R,North American Skater,AJHL,Okotoks,0,7,187.96,0.41,9.81,6.92,16.73,-3.21,0.16,-3.05,F
126,Brett Flemming,2009,64,89,21,5,145,1991-02-26,CAN,184,R,North American Skater,OHL,Mississauga St. Michael's,0,2,180.34,0.31,0.99,8.23,9.21,-1.15,-0.92,-2.07,D
127,Jeff Costello,2009,54,73,8,5,146,1990-11-20,USA,202,L,North American Skater,USHL,Cedar Rapids,0,11,180.34,0.41,12.22,4.58,16.8,-3.2,0.16,-3.04,F
128,Phil Varone,2009,58,32,13,5,147,1990-12-04,CAN,186,L,North American Skater,OHL,London,0,12,177.8,0.31,6.81,11.83,18.64,-2.89,0.06,-2.83,F
129,Marcus Kruger,2009,49,26,3,5,149,1990-05-27,SWE,189,L,European Skater,SWEDEN-JR.,Djurgarden Jr.,1,5,182.88,0.41,5.26,15.31,20.58,-2.57,0.16,-2.4099999999999997,F
130,Nick Jensen,2009,52,27,34,5,150,1990-09-21,USA,195,R,North American Skater,USHL,Green Bay,1,9,182.88,0.41,2.62,8.9,11.52,-0.82,-0.57,-1.39,D
131,Andy Bathgate,2009,44,10,6,5,151,1991-02-26,CAN,185,L,North American Skater,OHL,Belleville,0,2,182.88,0.31,1.91,5.75,7.66,-4.72,0.06,-4.66,F
132,Anders Lee,2009,43,22,0,6,152,1990-07-03,USA,216,L,North American Skater,HIGH-MN,Edina H.S.,1,7,187.96,0.41,17.6,34.65,52.25,2.71,0.16,2.87,F
133,David Labrecque,2009,59,76,23,6,153,1990-01-27,CAN,175,L,North American Skater,QMJHL,Shawinigan,0,1,182.88,0.25,3.04,11.22,14.25,-3.62,0.0,-3.62,F
134,Jimmy Bubnick,2009,72,41,-3,6,155,1991-01-19,CAN,191,R,North American Skater,WHL,Kamloops,0,1,187.96,0.28,6.59,8.42,15.01,-3.5,0.03,-3.47,F
135,Evan Bloodoff,2009,75,77,-5,6,157,1990-11-21,CAN,195,L,North American Skater,WHL,Kelowna,0,11,180.34,0.28,3.01,2.25,5.26,-5.12,0.03,-5.09,F
136,Jerry D'Amigo,2009,53,61,10,6,158,1991-02-19,USA,196,L,North American Skater,USDP,USA U-18,0,2,177.8,0.41,12.1,17.35,29.44,-1.09,0.16,-0.93,F
137,Curtis McKenzie,2009,53,90,0,6,159,1991-02-22,CAN,192,L,North American Skater,BCHL,Penticton,0,2,187.96,0.41,15.77,17.88,33.65,-0.39,0.16,-0.23,F
138,Corey Cowick,2009,68,48,21,6,160,1989-08-01,CAN,201,L,North American Skater,OHL,Ottawa,0,8,187.96,0.31,8.25,6.31,14.55,-3.57,0.06,-3.51,F
139,Jere Sallinen,2009,9,31,2,6,163,1990-10-26,FIN,195,L,European Skater,Finland Jr.,Blues Jr.,0,10,187.96,0.41,3.04,6.08,9.12,-4.48,0.16,-4.32,F
