,draft_year,draft_round,pick_no,team,prospect_name,prospect_id,dob,birth_country,height,weight,shoots,nhl_id,position,prospect_category,amateur_league,amateur_team
46,2009,2,47,New York Rangers,Ethan Werek,25911,1991-06-07,CAN,"6' 0""",198,L,8475216,C,North American Skater,OHL,Kingston
47,2009,2,48,St. Louis Blues,Brett Ponich,19820,1991-02-22,CAN,"6' 6""",204,L,8475205,D,North American Skater,WHL,Portland
48,2009,2,49,Colorado Avalanche,Stefan Elliott,7030,1991-01-30,CAN,"6' 1""",192,R,8475206,D,North American Skater,WHL,Saskatoon
49,2009,2,50,Toronto Maple Leafs,Kenny Ryan,64456,1998-09-02,NaN,"6' 2""",196,L,8475207,N/A,North American Skater,USDP,USA U-18
50,2009,2,51,Carolina Hurricanes,Brian Dumoulin,6693,1991-09-06,USA,"6' 4""",203,L,8475208,D,North American Skater,EJHL,Jr. Monarchs
51,2009,2,52,Tampa Bay Lightning,Richard Panik,43258,1991-02-07,SVK,"6' 1""",218,L,8475209,RW,European Skater,Czech Republic,Trinec
52,2009,2,53,Vancouver Canucks,Anton Rodin,45347,1990-11-21,SWE,"6' 0""",185,L,8475210,RW,European Skater,SWEDEN-JR.,Brynas Jr.
53,2009,2,54,New Jersey Devils,Eric Gelinas,8683,1991-05-08,CAN,"6' 4""",185,L,8475199,D,North American Skater,QMJHL,Lewiston
54,2009,2,55,Washington Capitals,Dmitry Orlov,42962,1991-07-23,RUS,"6' 0""",203,L,8475200,D,European Skater,RUSSIA,Novokuznetsk
55,2009,2,56,Columbus Blue Jackets,Kevin Lynch,14833,1991-04-23,USA,"6' 1""",190,R,8475201,C,North American Skater,USDP,USA U-18
56,2009,2,57,San Jose Sharks,Taylor Doherty,6309,1991-03-02,CAN,"6' 6""",221,R,8475202,D,North American Skater,OHL,Kingston
57,2009,2,58,Toronto Maple Leafs,Jesse Blacker,1888,1991-04-19,CAN,"6' 1""",190,R,8475203,D,North American Skater,OHL,Windsor
58,2009,2,59,Chicago Blackhawks,Brandon Pirri,19660,1991-04-10,CAN,"6' 0""",160,L,8475204,C,North American Skater,OJHL,Georgetown
59,2009,2,60,Detroit Red Wings,Tomas Tatar,49094,1990-12-01,SVK,"5' 10""",185,L,8475193,C,European Skater,SLOVAKIA,Zvolen
60,2009,2,61,Pittsburgh Penguins,Philip Samuelsson,21541,1991-07-26,SWE,"6' 3""",198,L,8475194,D,North American Skater,USHL,Chicago
62,2009,3,63,Pittsburgh Penguins,Ben Hanowski,10023,1990-10-18,USA,"6' 2""",198,L,8475196,N/A,North American Skater,HIGH-MN,Little Falls H.S.
63,2009,3,64,Colorado Avalanche,Tyson Barrie,1028,1991-07-26,CAN,"5' 10""",188,R,8475197,D,North American Skater,WHL,Kelowna
64,2009,3,65,Montréal Canadiens,Joonas Nattinen,41878,1991-01-03,FIN,"6' 2""",198,R,8475198,C,European Skater,Finland Jr.,Blues Jr.
65,2009,3,66,Buffalo Sabres,Brayden Mcnabb,16510,1991-01-21,CAN,"6' 4""",200,L,8475188,D,North American Skater,WHL,Kootenay
66,2009,3,67,Florida Panthers,Josh Birkholz,1832,1991-03-28,USA,"6' 0""",190,R,8475189,RW,North American Skater,USHL,Fargo
67,2009,3,68,Toronto Maple Leafs,Jamie Devane,6037,1991-02-20,CAN,"6' 4""",212,L,8475190,LW,North American Skater,OHL,Plymouth
68,2009,3,69,Dallas Stars,Reilly Smith,22921,1991-04-01,CAN,"6' 0""",170,L,8475191,RW,North American Skater,OJHL,St. Michael's
69,2009,3,70,Nashville Predators,Taylor Beck,1338,1991-05-13,CAN,"6' 2""",209,R,8475192,LW,North American Skater,OHL,Guelph
70,2009,3,71,Edmonton Oilers,Troy Hesketh,10628,1991-07-05,USA,"6' 2""",191,L,8475217,D,North American Skater,HIGH-MN,Minnetonka
71,2009,3,72,Nashville Predators,Michael Latta,13742,1991-05-25,CAN,"6' 0""",201,R,8475247,C,North American Skater,OHL,Guelph
72,2009,3,73,New Jersey Devils,Alexander Urbom,24969,1990-12-20,SWE,"6' 4""",205,L,8475248,D,North American Skater,SWEDEN,Djurgarden
73,2009,3,74,Calgary Flames,Ryan Howse,11152,1991-07-06,CAN,"5' 11""",205,L,8475249,LW,North American Skater,WHL,Chilliwack
74,2009,3,75,Detroit Red Wings,Andrej Nestrasil,17999,1991-02-22,CZE,"6' 3""",200,L,8475250,C,North American Skater,QMJHL,Victoriaville
77,2009,3,78,St. Louis Blues,Sergey Andronov,27620,1989-07-19,RUS,"6' 2""",211,L,8475241,C,European Skater,RUSSIA,Togliatti
78,2009,3,79,Montréal Canadiens,Mac Bennett,1496,1991-03-25,USA,"5' 11""",175,L,8475242,D,North American Skater,HIGH-CT,Hotchkiss School
79,2009,3,80,New York Rangers,Ryan Bourque,2444,1991-01-03,USA,"5' 10""",165,L,8475243,C,North American Skater,USDP,USA U-18
81,2009,3,82,Edmonton Oilers,Cameron Abney,26,1991-05-23,CAN,"6' 4""",198,R,8475245,RW,North American Skater,WHL,Everett
82,2009,3,83,Vancouver Canucks,Kevin Connauton,4636,1990-02-23,CAN,"6' 1""",196,L,8475246,D,North American Skater,CCHA,Western Michigan
83,2009,3,84,Los Angeles Kings,Nicolas Deslauriers,5990,1991-02-22,CAN,"6' 1""",204,L,8475235,D,North American Skater,QMJHL,Rouyn-Noranda
84,2009,3,85,Washington Capitals,Cody Eakin,6858,1991-05-24,CAN,"6' 0""",191,L,8475236,C,North American Skater,WHL,Swift Current
85,2009,3,86,Boston Bruins,Ryan Button,3253,1991-03-26,CAN,"6' 0""",185,L,8475237,D,North American Skater,WHL,Prince Albert
86,2009,3,87,Philadelphia Flyers,Simon Bertilsson,28700,1991-04-19,SWE,"6' 0""",207,L,8475238,D,European Skater,SWEDEN,BRYNAS
87,2009,3,88,Carolina Hurricanes,Mattias Lindstrom,39547,1991-03-21,SWE,"6' 4""",203,L,8475239,LW,European Skater,SWEDEN-JR.,Skelleftea Jr.
88,2009,3,89,Chicago Blackhawks,Dan Delisle,5821,1990-09-24,USA,"6' 5""",225,L,8475240,LW,North American Skater,HIGH-MN,Totino Grace
89,2009,3,90,Detroit Red Wings,Gleason Fournier,7987,1991-09-08,CAN,"6' 0""",191,L,8475229,D,North American Skater,QMJHL,Rimouski
91,2009,4,92,New York Islanders,Casey Cizikas,4261,1991-01-26,CAN,"5' 10""",190,L,8475231,C,North American Skater,OHL,Mississauga St. Michael's
92,2009,4,93,Tampa Bay Lightning,Alex Hutchings,11332,1990-11-07,CAN,"5' 10""",184,R,8475232,LW,North American Skater,OHL,Barrie
93,2009,4,94,Columbus Blue Jackets,David Savard,21696,1990-10-22,CAN,"6' 1""",212,R,8475233,D,North American Skater,QMJHL,Moncton
95,2009,4,96,Los Angeles Kings,Linden Vey,25300,1991-07-17,CAN,"6' 0""",194,R,8475223,C,North American Skater,WHL,Medicine Hat
96,2009,4,97,Phoenix Coyotes,Jordan Szwarz,23975,1991-05-14,CAN,"5' 10""",189,R,8475224,RW,North American Skater,OHL,Saginaw
97,2009,4,98,Nashville Predators,Craig Smith,22829,1989-09-05,USA,"6' 0""",189,R,8475225,C,North American Skater,USHL,Waterloo
98,2009,4,99,Edmonton Oilers,Kyle Bigos,1776,1989-05-12,USA,"6' 5""",230,R,8475226,D,North American Skater,BCHL,Vernon
99,2009,4,100,Ottawa Senators,Chris Wideman,26093,1990-01-07,USA,"5' 10""",177,R,8475227,D,North American Skater,CCHA,Miami University
100,2009,4,101,Edmonton Oilers,Toni Rajala,44869,1991-03-29,FIN,"5' 10""",167,L,8475228,LW,European Skater,Finland Jr.,Ilves Jr.
101,2009,4,102,Nashville Predators,Mattias Ekholm,31244,1990-05-24,SWE,"6' 4""",205,L,8475218,D,European Skater,SWEDEN-JR.,Mora Jr.
102,2009,4,103,Minnesota Wild,Kristopher Foucault,7970,1990-12-12,CAN,"6' 0""",202,L,8475219,LW,North American Skater,WHL,Calgary
103,2009,4,104,Buffalo Sabres,Marcus Foligno,7820,1991-08-10,USA,"6' 4""",231,L,8475220,LW,North American Skater,OHL,Sudbury
104,2009,4,105,Phoenix Coyotes,Justin Weller,25882,1991-07-26,CAN,"6' 2""",207,R,8475221,D,North American Skater,WHL,Red Deer
105,2009,4,106,Anaheim Ducks,Sami Vatanen,50395,1991-06-03,FIN,"5' 10""",167,R,8475222,D,European Skater,Finland Jr.,JYP Jr.
106,2009,4,107,Florida Panthers,Garrett Wilson,26291,1991-03-16,CAN,"6' 2""",205,L,8475253,LW,North American Skater,OHL,Owen Sound
107,2009,4,108,St. Louis Blues,Tyler Shattock,22306,1990-02-10,CAN,"6' 2""",190,R,8474810,RW,North American Skater,WHL,Kamloops
108,2009,4,109,Montréal Canadiens,Alexander Avtsin,27907,1991-03-19,RUS,"6' 3""",209,R,8475280,RW,European Skater,RUSSIA-3,Dynamo Moscow 2
109,2009,4,110,Nashville Predators,Nick Oliver,18498,1991-05-04,USA,"6' 2""",191,L,8475281,C,North American Skater,HIGH-MN,Roseau High
110,2009,4,111,Calgary Flames,Henrik Bjorklund,28866,1990-09-22,SWE,"6' 2""",209,R,8475282,RW,European Skater,SWEDEN,FARJESTAD
111,2009,4,112,Boston Bruins,Lane Macdermid,14890,1989-08-25,USA,"6' 2""",205,L,8475283,LW,North American Skater,OHL,Windsor
112,2009,4,113,Vancouver Canucks,Jeremy Price,19994,1990-09-26,CAN,"6' 0""",175,R,8475284,D,North American Skater,CJHL,Nepean
113,2009,4,114,New Jersey Devils,Seth Helgeson,10450,1990-10-08,USA,"6' 4""",220,L,8475274,D,North American Skater,USHL,Sioux City
114,2009,4,115,Washington Capitals,Patrick Wey,25961,1991-03-21,USA,"6' 2""",203,R,8475275,D,North American Skater,USHL,Waterloo
115,2009,4,116,Minnesota Wild,Alex Fallstrom,7316,1990-09-15,SWE,"6' 2""",194,R,8475276,RW,North American Skater,HIGH-MN,Shattuck-St. Mary's
117,2009,4,118,Toronto Maple Leafs,Void,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
118,2009,4,119,Chicago Blackhawks,Byron Froese,8241,1991-03-12,CAN,"6' 0""",189,R,8475278,C,North American Skater,WHL,Everett
119,2009,4,120,Atlanta Thrashers,Ben Chiarot,4074,1991-05-09,CAN,"6' 3""",224,L,8475279,D,North American Skater,OHL,Guelph
120,2009,4,121,Pittsburgh Penguins,Nick Petersen,19382,1989-05-27,CAN,"6' 3""",191,R,8475269,RW,North American Skater,QMJHL,Shawinigan
121,2009,5,122,New York Islanders,Anton Klementyev,36878,1990-03-25,RUS,"6' 1""",198,R,8475270,D,European Skater,RUSSIA-3,Yaroslavl 2
122,2009,5,123,Pittsburgh Penguins,Alex Velischek,25214,1990-12-17,CAN,"6' 0""",200,L,8475271,D,North American Skater,HIGH-NJ,Delbarton
124,2009,5,125,Atlanta Thrashers,Cody Sol,23064,1991-02-11,CAN,"6' 6""",240,L,8475273,D,North American Skater,OHL,Saginaw
125,2009,5,126,Los Angeles Kings,David Kolomatis,12875,1989-02-25,USA,"5' 11""",194,R,8475099,D,North American Skater,OHL,Owen Sound
126,2009,5,127,New York Rangers,Roman Horak,11007,1991-05-21,CZE,"6' 2""",189,L,8475264,C,North American Skater,CZREP-JR.,C. Budejovice Jr.
127,2009,5,128,Toronto Maple Leafs,Eric Knodel,12788,1990-06-08,USA,"6' 6""",225,L,8475265,D,North American Skater,USMAAA,Philadelphia Jr. Flyers
128,2009,5,129,Dallas Stars,Tomas Vincour,25359,1990-11-19,CZE,"6' 2""",213,R,8475266,RW,European Skater,WHL,Edmonton
129,2009,5,130,Ottawa Senators,Mike Hoffman,10846,1989-11-24,CAN,"5' 11""",175,L,8474884,N/A,North American Skater,QMJHL,Drummondville
130,2009,5,131,Carolina Hurricanes,Matt Kennedy,12420,1989-03-04,CAN,"6' 2""",204,R,8475089,RW,North American Skater,OHL,Guelph
131,2009,5,132,Nashville Predators,Gabriel Bourque,2441,1990-09-23,CAN,"5' 10""",182,L,8475268,LW,North American Skater,QMJHL,Baie Comeau
133,2009,5,134,Buffalo Sabres,Mark Adams,75,1991-05-23,NaN,"6' 2""",187,R,8475259,D,North American Skater,HIGH-MA,Malden Catholic H.S.
134,2009,5,135,Florida Panthers,Corban Knight,12777,1990-09-10,CAN,"6' 1""",196,R,8475260,C,North American Skater,AJHL,Okotoks
135,2009,5,136,Anaheim Ducks,Radoslav Illo,11412,1990-01-21,SVK,"6' 0""",198,L,8475261,LW,European Skater,USHL,Tri-City
136,2009,5,137,Columbus Blue Jackets,Thomas Larkin,13657,1990-12-31,GBR,"6' 5""",225,R,8475262,D,North American Skater,HIGH-NH,Phillips-Exeter
137,2009,5,138,Florida Panthers,Wade Megan,16649,1990-07-22,USA,"6' 1""",185,L,8475263,C,North American Skater,HIGH-CT,South Kent School
138,2009,5,139,Montréal Canadiens,Gabriel Dumont,6688,1990-10-06,CAN,"5' 10""",175,R,8475254,C,North American Skater,QMJHL,Drummondville
140,2009,5,141,Calgary Flames,Spencer Bennett,1502,1990-10-31,CAN,"6' 3""",185,L,8475256,LW,North American Skater,BCHL,Surrey
142,2009,5,143,Vancouver Canucks,Peter Andersson,27573,1991-04-13,SWE,"6' 4""",203,L,8475257,D,European Skater,SWEDEN-JR.,Frolunda Jr.
143,2009,5,144,New Jersey Devils,Derek Rodwell,20973,1990-07-08,CAN,"6' 2""",195,R,8475285,LW,North American Skater,AJHL,Okotoks
144,2009,5,145,Washington Capitals,Brett Flemming,7749,1991-02-26,CAN,"5' 11""",184,R,8475319,D,North American Skater,OHL,Mississauga St. Michael's
145,2009,5,146,Ottawa Senators,Jeff Costello,4887,1990-11-20,USA,"5' 11""",202,L,8475320,LW,North American Skater,USHL,Cedar Rapids
146,2009,5,147,San Jose Sharks,Phil Varone,25166,1990-12-04,CAN,"5' 10""",186,L,8475321,C,North American Skater,OHL,London
148,2009,5,149,Chicago Blackhawks,Marcus Kruger,38134,1990-05-27,SWE,"6' 0""",189,L,8475323,C,European Skater,SWEDEN-JR.,Djurgarden Jr.
149,2009,5,150,Detroit Red Wings,Nick Jensen,11733,1990-09-21,USA,"6' 0""",195,R,8475324,D,North American Skater,USHL,Green Bay
150,2009,5,151,Pittsburgh Penguins,Andy Bathgate,1127,1991-02-26,CAN,"6' 0""",185,L,8475313,C,North American Skater,OHL,Belleville
151,2009,6,152,New York Islanders,Anders Lee,14014,1990-07-03,USA,"6' 2""",216,L,8475314,C,North American Skater,HIGH-MN,Edina H.S.
152,2009,6,153,Philadelphia Flyers,Dave Labrecque,13279,1990-01-27,CAN,"6' 0""",175,L,8475315,C,North American Skater,QMJHL,Shawinigan
154,2009,6,155,Atlanta Thrashers,Jimmy Bubnick,3027,1991-01-19,CAN,"6' 2""",191,R,8475317,C,North American Skater,WHL,Kamloops
155,2009,6,156,Los Angeles Kings,Michael Pelech,19175,1989-10-06,CAN,"6' 4""",210,L,8475318,N/A,North American Skater,OHL,Mississauga St. Michael's
156,2009,6,157,Phoenix Coyotes,Evan Bloodoff,1999,1990-11-21,CAN,"5' 11""",195,L,8475308,LW,North American Skater,WHL,Kelowna
157,2009,6,158,Toronto Maple Leafs,Jerry D'Amigo,5370,1991-02-19,USA,"5' 10""",196,L,8475309,RW,North American Skater,USDP,USA U-18
158,2009,6,159,Dallas Stars,Curtis Mckenzie,16371,1991-02-22,CAN,"6' 2""",192,L,8475310,LW,North American Skater,BCHL,Penticton
159,2009,6,160,Ottawa Senators,Corey Cowick,5017,1989-08-01,CAN,"6' 2""",201,L,8474864,LW,North American Skater,OHL,Ottawa
162,2009,6,163,Minnesota Wild,Jere Sallinen,45936,1990-10-26,FIN,"6' 2""",195,L,8475302,RW,European Skater,Finland Jr.,Blues Jr.
164,2009,6,165,Florida Panthers,Scott Timmins,24480,1989-09-11,CAN,"5' 11""",191,L,8475304,C,North American Skater,OHL,Windsor
165,2009,6,166,Anaheim Ducks,Scott Valentine,25002,1991-05-02,CAN,"6' 0""",196,L,8475305,D,North American Skater,OHL,Oshawa
166,2009,6,167,Columbus Blue Jackets,Anton Blomqvist,28977,1990-03-07,SWE,"6' 4""",189,L,8475306,D,European Skater,SWEDEN-JR.,Malmo Jr.
167,2009,6,168,St. Louis Blues,David Shields,22405,1991-01-27,CAN,"6' 4""",217,R,8475307,D,North American Skater,OHL,Erie
168,2009,6,169,Montréal Canadiens,Dustin Walsh,25567,1991-03-20,CAN,"6' 2""",175,L,8475297,C,North American Skater,OJHL,Kingston
169,2009,6,170,New York Rangers,Dan Maggio,15206,1991-03-04,CAN,"6' 2""",210,R,8475298,D,North American Skater,OHL,Sudbury
171,2009,6,172,Philadelphia Flyers,Eric Wellwood,25892,1990-03-06,CAN,"5' 10""",168,L,8474892,LW,North American Skater,OHL,Windsor
173,2009,6,174,New Jersey Devils,Ashton Bernard,1617,1990-02-05,CAN,"6' 3""",210,L,8475301,LW,North American Skater,QMJHL,Shawinigan
174,2009,6,175,Washington Capitals,Garrett Mitchell,17094,1991-09-02,CAN,"5' 10""",185,R,8475291,RW,North American Skater,WHL,Regina
175,2009,6,176,Boston Bruins,Tyler Randell,20300,1991-06-15,CAN,"6' 1""",200,R,8475292,RW,North American Skater,OHL,Kitchener
176,2009,6,177,Chicago Blackhawks,David Pacan,18723,1991-03-31,CAN,"6' 3""",212,R,8475293,C,North American Skater,CJHL,Cumberland
177,2009,6,178,Carolina Hurricanes,Rasmus Rissanen,20757,1991-07-13,FIN,"6' 2""",206,L,8475294,D,North American Skater,Finland Jr.,Kalpa Jr.
178,2009,6,179,Los Angeles Kings,Brandon Kozun,13012,1990-03-08,USA,"5' 8""",170,R,8475295,RW,North American Skater,WHL,Calgary
179,2009,6,180,Detroit Red Wings,Mitch Callahan,3354,1991-08-17,USA,"5' 10""",185,R,8475296,RW,North American Skater,WHL,Kelowna
180,2009,6,181,Pittsburgh Penguins,Viktor Ekbom,31235,1989-06-01,SWE,"6' 4""",211,L,8475286,D,European Skater,SWEDEN-2,Oskarshamn
181,2009,7,182,Minnesota Wild,Erik Haula,10272,1991-03-23,FIN,"6' 0""",187,L,8475287,C,North American Skater,HIGH-MN,Shattuck-St. Mary's
182,2009,7,183,Tampa Bay Lightning,Kirill Gotovets,9248,1991-06-25,BLR,"5' 11""",190,L,8475288,D,North American Skater,HIGH-MN,Shattuck-St. Mary's
183,2009,7,184,Colorado Avalanche,Gus Young,26690,1991-07-10,USA,"6' 2""",190,L,8475289,D,North American Skater,HIGH-MA,Nobles
184,2009,7,185,Atlanta Thrashers,Levko Koper,12908,1990-10-05,CAN,"6' 0""",180,L,8475290,LW,North American Skater,WHL,Spokane
185,2009,7,186,Los Angeles Kings,Jordan Nolan,18176,1989-06-23,CAN,"6' 2""",216,L,8475325,C,North American Skater,OHL,Sault Ste. Marie
186,2009,7,187,Vancouver Canucks,Steven Anthony,440,1991-03-21,CAN,"6' 2""",195,L,8475344,LW,North American Skater,QMJHL,Saint John
187,2009,7,188,Toronto Maple Leafs,Barron Smith,22798,1991-04-02,USA,"6' 5""",218,R,8475345,D,North American Skater,OHL,Peterborough
188,2009,7,189,San Jose Sharks,Marek Viedensky,25318,1990-08-18,SVK,"6' 4""",209,R,8475346,C,North American Skater,WHL,Prince George
189,2009,7,190,Ottawa Senators,Brad Peltz,19217,1989-10-02,USA,"6' 1""",185,R,8475347,LW,North American Skater,HIGH-CT,Avon Old Farms H.S.
190,2009,7,191,Ottawa Senators,Michael Sdao,22085,1989-07-03,USA,"6' 4""",221,L,8475348,D,North American Skater,USHL,Lincoln
191,2009,7,192,Nashville Predators,Cameron Reid,20495,1991-08-25,CAN,"6' 2""",194,L,8475349,C,North American Skater,BCHL,Westside
192,2009,7,193,Minnesota Wild,Anthony Hamburg,9900,1991-08-30,USA,"6' 0""",198,R,8475339,C,North American Skater,MIDGET,Dallas Stars AAA
193,2009,7,194,Buffalo Sabres,Maxime Legault,14074,1989-03-28,CAN,"6' 2""",192,R,8475340,RW,North American Skater,QMJHL,Shawinigan
194,2009,7,195,Chicago Blackhawks,Paul Phillips,19521,1991-07-16,USA,"6' 0""",195,L,8475341,D,North American Skater,USHL,Cedar Rapids
195,2009,7,196,Philadelphia Flyers,Oliver Lauridsen,13758,1989-03-24,DNK,"6' 6""",232,L,8475342,D,North American Skater,WCHA,St. Cloud State
196,2009,7,197,Columbus Blue Jackets,Kyle Neuber,18002,1989-03-22,CAN,"6' 2""",235,R,8474807,RW,North American Skater,OHL,Mississauga St. Michael's
197,2009,7,198,Los Angeles Kings,Nic Dowd,6458,1990-05-27,USA,"6' 1""",182,R,8475343,C,North American Skater,NAHL,Wenatchee
198,2009,7,199,Montréal Canadiens,Michael Cichy,4231,1990-07-08,USA,"5' 11""",187,L,8475333,C,North American Skater,USHL,Indiana
199,2009,7,200,New York Rangers,Mikhail Pashnin,43360,1989-05-11,RUS,"6' 1""",202,L,8475334,D,European Skater,RUSSIA-2,Mechel
200,2009,7,201,Calgary Flames,Gaelan Patterson,19025,1990-08-22,CAN,"6' 0""",204,L,8475335,C,North American Skater,WHL,Saskatoon
