,draft_year,draft_round,pick_no,team,prospect_name,prospect_id,dob,birth_country,height,weight,shoots,nhl_id,position,prospect_category,amateur_league,amateur_team,nhl_games_played,200+games
15,2009,1,16,Minnesota Wild,Nick Leddy,13981,1991-03-20,USA,"5' 11""",179,L,8475181,D,North American Skater,HIGH-MN,Eden Prarie,929,1
16,2009,1,17,St. Louis Blues,David Rundblad,45595,1990-10-08,SWE,"6' 2""",196,R,8475182,D,European Skater,SWEDEN,Skelleftea,113,0
17,2009,1,18,Montréal Canadiens,Louis Leblanc,13930,1991-01-26,CAN,"6' 0""",180,R,8475183,C,North American Skater,USHL,Omaha,50,0
18,2009,1,19,New York Rangers,Chris Kreider,13056,1991-04-30,USA,"6' 3""",220,L,8475184,C,North American Skater,HIGH-MA,Andover,733,1
19,2009,1,20,New Jersey Devils,Jacob Josefson,35669,1991-03-02,SWE,"6' 1""",189,L,8475185,C,European Skater,SWEDEN,Djurgarden,315,1
20,2009,1,21,Columbus Blue Jackets,John Moore,17302,1990-11-19,USA,"6' 2""",200,L,8475186,D,North American Skater,USHL,Chicago,544,1
21,2009,1,22,Vancouver Canucks,Jordan Schroeder,21962,1990-09-29,USA,"5' 8""",175,R,8475147,C,North American Skater,WCHA,U. of Minnesota,165,0
22,2009,1,23,Calgary Flames,Tim Erixon,31505,1991-02-24,USA,"6' 3""",198,L,8475148,D,North American Skater,SWEDEN,Skelleftea,93,0
23,2009,1,24,Washington Capitals,Marcus Johansson,35500,1990-10-06,SWE,"6' 0""",194,L,8475149,LW,European Skater,SWEDEN,Farjestad,833,1
24,2009,1,25,Boston Bruins,Jordan Caron,3639,1990-11-02,CAN,"6' 2""",202,L,8475150,RW,North American Skater,QMJHL,Rimouski,157,0
25,2009,1,26,Anaheim Ducks,Kyle Palmieri,18807,1991-02-01,USA,"5' 10""",191,R,8475151,RW,North American Skater,USDP,USA U-18,736,1
26,2009,1,27,Carolina Hurricanes,Philippe Paradis,18871,1991-01-02,CAN,"6' 2""",210,L,8475152,LW,North American Skater,QMJHL,Shawinigan,0,0
27,2009,1,28,Chicago Blackhawks,Dylan Olsen,18516,1991-01-03,USA,"6' 2""",206,L,8475153,D,North American Skater,AJHL,Camrose,124,0
28,2009,1,29,Tampa Bay Lightning,Carter Ashton,591,1991-04-01,CAN,"6' 2""",205,L,8475154,RW,North American Skater,WHL,Lethbridge,54,0
29,2009,1,30,Pittsburgh Penguins,Simon Despres,6011,1991-01-26,CAN,"6' 4""",218,L,8475155,D,North American Skater,QMJHL,Saint John,193,0
30,2009,2,32,Detroit Red Wings,Landon Ferraro,7507,1991-08-08,CAN,"6' 0""",167,R,8475157,C,North American Skater,WHL,Red Deer,77,0
31,2009,2,33,Colorado Avalanche,Ryan O'Reilly,18401,1991-02-07,CAN,"6' 0""",208,L,8475158,C,North American Skater,OHL,Erie,991,1
32,2009,2,34,Atlanta Thrashers,Carl Klingberg,36938,1991-01-28,SWE,"6' 3""",226,R,8475159,RW,European Skater,SWEDEN-JR.,Frolunda Jr.,12,0
33,2009,2,35,Los Angeles Kings,Kyle Clifford,4392,1991-01-13,CAN,"6' 2""",209,L,8475160,LW,North American Skater,OHL,Barrie,753,1
34,2009,2,36,Phoenix Coyotes,Chris Brown,2874,1991-02-03,USA,"6' 2""",191,R,8475161,C,North American Skater,USDP,USA U-18,23,0
35,2009,2,37,Anaheim Ducks,Mat Clark,4331,1990-10-17,USA,"6' 4""",218,R,8475162,D,North American Skater,OHL,Brampton,9,0
36,2009,2,38,Dallas Stars,Alex Chiasson,4075,1990-10-01,CAN,"6' 4""",187,R,8475163,RW,North American Skater,USHL,Des Moines,651,1
37,2009,2,39,Ottawa Senators,Jakob Silfverberg,47079,1990-10-13,SWE,"6' 1""",196,R,8475164,LW,European Skater,SWEDEN-JR.,Brynas Jr.,739,1
38,2009,2,40,Edmonton Oilers,Anton Lander,38805,1991-04-24,SWE,"6' 0""",190,L,8475165,C,European Skater,SWEDEN,Timra,215,1
39,2009,2,41,Nashville Predators,Zach Budish,3057,1991-05-09,USA,"6' 2""",229,R,8475187,RW,North American Skater,HIGH-MN,Edina H.S.,0,0
40,2009,2,42,Nashville Predators,Charles-Olivier Roussel,21187,1991-09-13,CAN,"6' 1""",200,R,8475211,D,North American Skater,QMJHL,Shawinigan,0,0
41,2009,2,43,San Jose Sharks,William Wrenn,26521,1991-03-16,USA,"6' 0""",190,R,8475212,D,North American Skater,USDP,USA U-18,0,0
42,2009,2,44,Florida Panthers,Drew Shore,22438,1991-01-29,USA,"6' 2""",190,R,8475213,C,North American Skater,USDP,USA U-18,98,0
43,2009,2,45,Atlanta Thrashers,Jeremy Morin,17392,1991-04-16,USA,"6' 1""",197,R,8475214,LW,North American Skater,USDP,USA U-18,82,0
44,2009,2,47,New York Rangers,Ethan Werek,25911,1991-06-07,CAN,"6' 0""",198,L,8475216,C,North American Skater,OHL,Kingston,0,0
45,2009,2,48,St. Louis Blues,Brett Ponich,19820,1991-02-22,CAN,"6' 6""",204,L,8475205,D,North American Skater,WHL,Portland,0,0
46,2009,2,49,Colorado Avalanche,Stefan Elliott,7030,1991-01-30,CAN,"6' 1""",192,R,8475206,D,North American Skater,WHL,Saskatoon,87,0
47,2009,2,50,Toronto Maple Leafs,Kenny Ryan,64456,1998-09-02,NaN,"6' 2""",196,L,8475207,N/A,North American Skater,USDP,USA U-18,0,0
48,2009,2,51,Carolina Hurricanes,Brian Dumoulin,6693,1991-09-06,USA,"6' 4""",203,L,8475208,D,North American Skater,EJHL,Jr. Monarchs,546,1
49,2009,2,52,Tampa Bay Lightning,Richard Panik,43258,1991-02-07,SVK,"6' 1""",218,L,8475209,RW,European Skater,Czech Republic,Trinec,521,1
50,2009,2,53,Vancouver Canucks,Anton Rodin,45347,1990-11-21,SWE,"6' 0""",185,L,8475210,RW,European Skater,SWEDEN-JR.,Brynas Jr.,3,0
51,2009,2,54,New Jersey Devils,Eric Gelinas,8683,1991-05-08,CAN,"6' 4""",185,L,8475199,D,North American Skater,QMJHL,Lewiston,189,0
52,2009,2,55,Washington Capitals,Dmitry Orlov,42962,1991-07-23,RUS,"6' 0""",203,L,8475200,D,European Skater,RUSSIA,Novokuznetsk,709,1
53,2009,2,56,Columbus Blue Jackets,Kevin Lynch,14833,1991-04-23,USA,"6' 1""",190,R,8475201,C,North American Skater,USDP,USA U-18,0,0
54,2009,2,57,San Jose Sharks,Taylor Doherty,6309,1991-03-02,CAN,"6' 6""",221,R,8475202,D,North American Skater,OHL,Kingston,0,0
55,2009,2,58,Toronto Maple Leafs,Jesse Blacker,1888,1991-04-19,CAN,"6' 1""",190,R,8475203,D,North American Skater,OHL,Windsor,1,0
56,2009,2,59,Chicago Blackhawks,Brandon Pirri,19660,1991-04-10,CAN,"6' 0""",160,L,8475204,C,North American Skater,OJHL,Georgetown,276,1
57,2009,2,60,Detroit Red Wings,Tomas Tatar,49094,1990-12-01,SVK,"5' 10""",185,L,8475193,C,European Skater,SLOVAKIA,Zvolen,783,1
58,2009,2,61,Pittsburgh Penguins,Philip Samuelsson,21541,1991-07-26,SWE,"6' 3""",198,L,8475194,D,North American Skater,USHL,Chicago,13,0
59,2009,3,63,Pittsburgh Penguins,Ben Hanowski,10023,1990-10-18,USA,"6' 2""",198,L,8475196,N/A,North American Skater,HIGH-MN,Little Falls H.S.,16,0
60,2009,3,64,Colorado Avalanche,Tyson Barrie,1028,1991-07-26,CAN,"5' 10""",188,R,8475197,D,North American Skater,WHL,Kelowna,768,1
61,2009,3,65,Montréal Canadiens,Joonas Nattinen,41878,1991-01-03,FIN,"6' 2""",198,R,8475198,C,European Skater,Finland Jr.,Blues Jr.,1,0
62,2009,3,66,Buffalo Sabres,Brayden Mcnabb,16510,1991-01-21,CAN,"6' 4""",200,L,8475188,D,North American Skater,WHL,Kootenay,658,1
63,2009,3,67,Florida Panthers,Josh Birkholz,1832,1991-03-28,USA,"6' 0""",190,R,8475189,RW,North American Skater,USHL,Fargo,0,0
64,2009,3,68,Toronto Maple Leafs,Jamie Devane,6037,1991-02-20,CAN,"6' 4""",212,L,8475190,LW,North American Skater,OHL,Plymouth,2,0
65,2009,3,69,Dallas Stars,Reilly Smith,22921,1991-04-01,CAN,"6' 0""",170,L,8475191,RW,North American Skater,OJHL,St. Michael's,764,1
66,2009,3,70,Nashville Predators,Taylor Beck,1338,1991-05-13,CAN,"6' 2""",209,R,8475192,LW,North American Skater,OHL,Guelph,92,0
67,2009,3,71,Edmonton Oilers,Troy Hesketh,10628,1991-07-05,USA,"6' 2""",191,L,8475217,D,North American Skater,HIGH-MN,Minnetonka,0,0
68,2009,3,72,Nashville Predators,Michael Latta,13742,1991-05-25,CAN,"6' 0""",201,R,8475247,C,North American Skater,OHL,Guelph,113,0
69,2009,3,73,New Jersey Devils,Alexander Urbom,24969,1990-12-20,SWE,"6' 4""",205,L,8475248,D,North American Skater,SWEDEN,Djurgarden,34,0
70,2009,3,74,Calgary Flames,Ryan Howse,11152,1991-07-06,CAN,"5' 11""",205,L,8475249,LW,North American Skater,WHL,Chilliwack,0,0
71,2009,3,75,Detroit Red Wings,Andrej Nestrasil,17999,1991-02-22,CZE,"6' 3""",200,L,8475250,C,North American Skater,QMJHL,Victoriaville,128,0
72,2009,3,78,St. Louis Blues,Sergey Andronov,27620,1989-07-19,RUS,"6' 2""",211,L,8475241,C,European Skater,RUSSIA,Togliatti,0,0
73,2009,3,79,Montréal Canadiens,Mac Bennett,1496,1991-03-25,USA,"5' 11""",175,L,8475242,D,North American Skater,HIGH-CT,Hotchkiss School,0,0
74,2009,3,80,New York Rangers,Ryan Bourque,2444,1991-01-03,USA,"5' 10""",165,L,8475243,C,North American Skater,USDP,USA U-18,1,0
75,2009,3,82,Edmonton Oilers,Cameron Abney,26,1991-05-23,CAN,"6' 4""",198,R,8475245,RW,North American Skater,WHL,Everett,0,0
76,2009,3,83,Vancouver Canucks,Kevin Connauton,4636,1990-02-23,CAN,"6' 1""",196,L,8475246,D,North American Skater,CCHA,Western Michigan,360,1
77,2009,3,84,Los Angeles Kings,Nicolas Deslauriers,5990,1991-02-22,CAN,"6' 1""",204,L,8475235,D,North American Skater,QMJHL,Rouyn-Noranda,586,1
78,2009,3,85,Washington Capitals,Cody Eakin,6858,1991-05-24,CAN,"6' 0""",191,L,8475236,C,North American Skater,WHL,Swift Current,701,1
79,2009,3,86,Boston Bruins,Ryan Button,3253,1991-03-26,CAN,"6' 0""",185,L,8475237,D,North American Skater,WHL,Prince Albert,0,0
80,2009,3,87,Philadelphia Flyers,Simon Bertilsson,28700,1991-04-19,SWE,"6' 0""",207,L,8475238,D,European Skater,SWEDEN,BRYNAS,0,0
81,2009,3,88,Carolina Hurricanes,Mattias Lindstrom,39547,1991-03-21,SWE,"6' 4""",203,L,8475239,LW,European Skater,SWEDEN-JR.,Skelleftea Jr.,0,0
82,2009,3,89,Chicago Blackhawks,Dan Delisle,5821,1990-09-24,USA,"6' 5""",225,L,8475240,LW,North American Skater,HIGH-MN,Totino Grace,0,0
83,2009,3,90,Detroit Red Wings,Gleason Fournier,7987,1991-09-08,CAN,"6' 0""",191,L,8475229,D,North American Skater,QMJHL,Rimouski,0,0
84,2009,4,92,New York Islanders,Casey Cizikas,4261,1991-01-26,CAN,"5' 10""",190,L,8475231,C,North American Skater,OHL,Mississauga St. Michael's,745,1
85,2009,4,93,Tampa Bay Lightning,Alex Hutchings,11332,1990-11-07,CAN,"5' 10""",184,R,8475232,LW,North American Skater,OHL,Barrie,0,0
86,2009,4,94,Columbus Blue Jackets,David Savard,21696,1990-10-22,CAN,"6' 1""",212,R,8475233,D,North American Skater,QMJHL,Moncton,735,1
87,2009,4,96,Los Angeles Kings,Linden Vey,25300,1991-07-17,CAN,"6' 0""",194,R,8475223,C,North American Skater,WHL,Medicine Hat,138,0
88,2009,4,97,Phoenix Coyotes,Jordan Szwarz,23975,1991-05-14,CAN,"5' 10""",189,R,8475224,RW,North American Skater,OHL,Saginaw,50,0
89,2009,4,98,Nashville Predators,Craig Smith,22829,1989-09-05,USA,"6' 0""",189,R,8475225,C,North American Skater,USHL,Waterloo,853,1
90,2009,4,99,Edmonton Oilers,Kyle Bigos,1776,1989-05-12,USA,"6' 5""",230,R,8475226,D,North American Skater,BCHL,Vernon,0,0
91,2009,4,100,Ottawa Senators,Chris Wideman,26093,1990-01-07,USA,"5' 10""",177,R,8475227,D,North American Skater,CCHA,Miami University,291,1
92,2009,4,101,Edmonton Oilers,Toni Rajala,44869,1991-03-29,FIN,"5' 10""",167,L,8475228,LW,European Skater,Finland Jr.,Ilves Jr.,0,0
93,2009,4,102,Nashville Predators,Mattias Ekholm,31244,1990-05-24,SWE,"6' 4""",205,L,8475218,D,European Skater,SWEDEN-JR.,Mora Jr.,740,1
94,2009,4,103,Minnesota Wild,Kristopher Foucault,7970,1990-12-12,CAN,"6' 0""",202,L,8475219,LW,North American Skater,WHL,Calgary,1,0
95,2009,4,104,Buffalo Sabres,Marcus Foligno,7820,1991-08-10,USA,"6' 4""",231,L,8475220,LW,North American Skater,OHL,Sudbury,743,1
96,2009,4,105,Phoenix Coyotes,Justin Weller,25882,1991-07-26,CAN,"6' 2""",207,R,8475221,D,North American Skater,WHL,Red Deer,0,0
97,2009,4,106,Anaheim Ducks,Sami Vatanen,50395,1991-06-03,FIN,"5' 10""",167,R,8475222,D,European Skater,Finland Jr.,JYP Jr.,473,1
98,2009,4,107,Florida Panthers,Garrett Wilson,26291,1991-03-16,CAN,"6' 2""",205,L,8475253,LW,North American Skater,OHL,Owen Sound,84,0
99,2009,4,108,St. Louis Blues,Tyler Shattock,22306,1990-02-10,CAN,"6' 2""",190,R,8474810,RW,North American Skater,WHL,Kamloops,0,0
100,2009,4,109,Montréal Canadiens,Alexander Avtsin,27907,1991-03-19,RUS,"6' 3""",209,R,8475280,RW,European Skater,RUSSIA-3,Dynamo Moscow 2,0,0
101,2009,4,110,Nashville Predators,Nick Oliver,18498,1991-05-04,USA,"6' 2""",191,L,8475281,C,North American Skater,HIGH-MN,Roseau High,0,0
102,2009,4,111,Calgary Flames,Henrik Bjorklund,28866,1990-09-22,SWE,"6' 2""",209,R,8475282,RW,European Skater,SWEDEN,FARJESTAD,0,0
103,2009,4,112,Boston Bruins,Lane Macdermid,14890,1989-08-25,USA,"6' 2""",205,L,8475283,LW,North American Skater,OHL,Windsor,21,0
104,2009,4,113,Vancouver Canucks,Jeremy Price,19994,1990-09-26,CAN,"6' 0""",175,R,8475284,D,North American Skater,CJHL,Nepean,0,0
105,2009,4,114,New Jersey Devils,Seth Helgeson,10450,1990-10-08,USA,"6' 4""",220,L,8475274,D,North American Skater,USHL,Sioux City,50,0
106,2009,4,115,Washington Capitals,Patrick Wey,25961,1991-03-21,USA,"6' 2""",203,R,8475275,D,North American Skater,USHL,Waterloo,9,0
107,2009,4,116,Minnesota Wild,Alex Fallstrom,7316,1990-09-15,SWE,"6' 2""",194,R,8475276,RW,North American Skater,HIGH-MN,Shattuck-St. Mary's,0,0
108,2009,4,119,Chicago Blackhawks,Byron Froese,8241,1991-03-12,CAN,"6' 0""",189,R,8475278,C,North American Skater,WHL,Everett,125,0
109,2009,4,120,Atlanta Thrashers,Ben Chiarot,4074,1991-05-09,CAN,"6' 3""",224,L,8475279,D,North American Skater,OHL,Guelph,565,1
110,2009,4,121,Pittsburgh Penguins,Nick Petersen,19382,1989-05-27,CAN,"6' 3""",191,R,8475269,RW,North American Skater,QMJHL,Shawinigan,0,0
111,2009,5,122,New York Islanders,Anton Klementyev,36878,1990-03-25,RUS,"6' 1""",198,R,8475270,D,European Skater,RUSSIA-3,Yaroslavl 2,1,0
112,2009,5,123,Pittsburgh Penguins,Alex Velischek,25214,1990-12-17,CAN,"6' 0""",200,L,8475271,D,North American Skater,HIGH-NJ,Delbarton,0,0
113,2009,5,125,Atlanta Thrashers,Cody Sol,23064,1991-02-11,CAN,"6' 6""",240,L,8475273,D,North American Skater,OHL,Saginaw,0,0
114,2009,5,126,Los Angeles Kings,David Kolomatis,12875,1989-02-25,USA,"5' 11""",194,R,8475099,D,North American Skater,OHL,Owen Sound,0,0
115,2009,5,127,New York Rangers,Roman Horak,11007,1991-05-21,CZE,"6' 2""",189,L,8475264,C,North American Skater,CZREP-JR.,C. Budejovice Jr.,84,0
116,2009,5,128,Toronto Maple Leafs,Eric Knodel,12788,1990-06-08,USA,"6' 6""",225,L,8475265,D,North American Skater,USMAAA,Philadelphia Jr. Flyers,0,0
117,2009,5,129,Dallas Stars,Tomas Vincour,25359,1990-11-19,CZE,"6' 2""",213,R,8475266,RW,European Skater,WHL,Edmonton,95,0
118,2009,5,130,Ottawa Senators,Mike Hoffman,10846,1989-11-24,CAN,"5' 11""",175,L,8474884,N/A,North American Skater,QMJHL,Drummondville,679,1
119,2009,5,131,Carolina Hurricanes,Matt Kennedy,12420,1989-03-04,CAN,"6' 2""",204,R,8475089,RW,North American Skater,OHL,Guelph,0,0
120,2009,5,132,Nashville Predators,Gabriel Bourque,2441,1990-09-23,CAN,"5' 10""",182,L,8475268,LW,North American Skater,QMJHL,Baie Comeau,413,1
121,2009,5,134,Buffalo Sabres,Mark Adams,75,1991-05-23,NaN,"6' 2""",187,R,8475259,D,North American Skater,HIGH-MA,Malden Catholic H.S.,0,0
122,2009,5,135,Florida Panthers,Corban Knight,12777,1990-09-10,CAN,"6' 1""",196,R,8475260,C,North American Skater,AJHL,Okotoks,52,0
123,2009,5,136,Anaheim Ducks,Radoslav Illo,11412,1990-01-21,SVK,"6' 0""",198,L,8475261,LW,European Skater,USHL,Tri-City,0,0
124,2009,5,137,Columbus Blue Jackets,Thomas Larkin,13657,1990-12-31,GBR,"6' 5""",225,R,8475262,D,North American Skater,HIGH-NH,Phillips-Exeter,0,0
125,2009,5,138,Florida Panthers,Wade Megan,16649,1990-07-22,USA,"6' 1""",185,L,8475263,C,North American Skater,HIGH-CT,South Kent School,15,0
126,2009,5,139,Montréal Canadiens,Gabriel Dumont,6688,1990-10-06,CAN,"5' 10""",175,R,8475254,C,North American Skater,QMJHL,Drummondville,90,0
127,2009,5,141,Calgary Flames,Spencer Bennett,1502,1990-10-31,CAN,"6' 3""",185,L,8475256,LW,North American Skater,BCHL,Surrey,0,0
128,2009,5,143,Vancouver Canucks,Peter Andersson,27573,1991-04-13,SWE,"6' 4""",203,L,8475257,D,European Skater,SWEDEN-JR.,Frolunda Jr.,0,0
129,2009,5,144,New Jersey Devils,Derek Rodwell,20973,1990-07-08,CAN,"6' 2""",195,R,8475285,LW,North American Skater,AJHL,Okotoks,0,0
130,2009,5,145,Washington Capitals,Brett Flemming,7749,1991-02-26,CAN,"5' 11""",184,R,8475319,D,North American Skater,OHL,Mississauga St. Michael's,0,0
131,2009,5,146,Ottawa Senators,Jeff Costello,4887,1990-11-20,USA,"5' 11""",202,L,8475320,LW,North American Skater,USHL,Cedar Rapids,0,0
132,2009,5,147,San Jose Sharks,Phil Varone,25166,1990-12-04,CAN,"5' 10""",186,L,8475321,C,North American Skater,OHL,London,97,0
133,2009,5,149,Chicago Blackhawks,Marcus Kruger,38134,1990-05-27,SWE,"6' 0""",189,L,8475323,C,European Skater,SWEDEN-JR.,Djurgarden Jr.,520,1
134,2009,5,150,Detroit Red Wings,Nick Jensen,11733,1990-09-21,USA,"6' 0""",195,R,8475324,D,North American Skater,USHL,Green Bay,484,1
135,2009,5,151,Pittsburgh Penguins,Andy Bathgate,1127,1991-02-26,CAN,"6' 0""",185,L,8475313,C,North American Skater,OHL,Belleville,0,0
136,2009,6,152,New York Islanders,Anders Lee,14014,1990-07-03,USA,"6' 2""",216,L,8475314,C,North American Skater,HIGH-MN,Edina H.S.,678,1
137,2009,6,153,Philadelphia Flyers,Dave Labrecque,13279,1990-01-27,CAN,"6' 0""",175,L,8475315,C,North American Skater,QMJHL,Shawinigan,0,0
138,2009,6,155,Atlanta Thrashers,Jimmy Bubnick,3027,1991-01-19,CAN,"6' 2""",191,R,8475317,C,North American Skater,WHL,Kamloops,0,0
139,2009,6,156,Los Angeles Kings,Michael Pelech,19175,1989-10-06,CAN,"6' 4""",210,L,8475318,N/A,North American Skater,OHL,Mississauga St. Michael's,0,0
140,2009,6,157,Phoenix Coyotes,Evan Bloodoff,1999,1990-11-21,CAN,"5' 11""",195,L,8475308,LW,North American Skater,WHL,Kelowna,0,0
141,2009,6,158,Toronto Maple Leafs,Jerry D'Amigo,5370,1991-02-19,USA,"5' 10""",196,L,8475309,RW,North American Skater,USDP,USA U-18,31,0
142,2009,6,159,Dallas Stars,Curtis Mckenzie,16371,1991-02-22,CAN,"6' 2""",192,L,8475310,LW,North American Skater,BCHL,Penticton,99,0
143,2009,6,160,Ottawa Senators,Corey Cowick,5017,1989-08-01,CAN,"6' 2""",201,L,8474864,LW,North American Skater,OHL,Ottawa,0,0
144,2009,6,163,Minnesota Wild,Jere Sallinen,45936,1990-10-26,FIN,"6' 2""",195,L,8475302,RW,European Skater,Finland Jr.,Blues Jr.,0,0
145,2009,6,165,Florida Panthers,Scott Timmins,24480,1989-09-11,CAN,"5' 11""",191,L,8475304,C,North American Skater,OHL,Windsor,24,0
146,2009,6,166,Anaheim Ducks,Scott Valentine,25002,1991-05-02,CAN,"6' 0""",196,L,8475305,D,North American Skater,OHL,Oshawa,0,0
147,2009,6,167,Columbus Blue Jackets,Anton Blomqvist,28977,1990-03-07,SWE,"6' 4""",189,L,8475306,D,European Skater,SWEDEN-JR.,Malmo Jr.,0,0
148,2009,6,168,St. Louis Blues,David Shields,22405,1991-01-27,CAN,"6' 4""",217,R,8475307,D,North American Skater,OHL,Erie,0,0
149,2009,6,169,Montréal Canadiens,Dustin Walsh,25567,1991-03-20,CAN,"6' 2""",175,L,8475297,C,North American Skater,OJHL,Kingston,0,0
150,2009,6,170,New York Rangers,Dan Maggio,15206,1991-03-04,CAN,"6' 2""",210,R,8475298,D,North American Skater,OHL,Sudbury,0,0
151,2009,6,172,Philadelphia Flyers,Eric Wellwood,25892,1990-03-06,CAN,"5' 10""",168,L,8474892,LW,North American Skater,OHL,Windsor,31,0
152,2009,6,174,New Jersey Devils,Ashton Bernard,1617,1990-02-05,CAN,"6' 3""",210,L,8475301,LW,North American Skater,QMJHL,Shawinigan,0,0
153,2009,6,175,Washington Capitals,Garrett Mitchell,17094,1991-09-02,CAN,"5' 10""",185,R,8475291,RW,North American Skater,WHL,Regina,1,0
154,2009,6,176,Boston Bruins,Tyler Randell,20300,1991-06-15,CAN,"6' 1""",200,R,8475292,RW,North American Skater,OHL,Kitchener,27,0
155,2009,6,177,Chicago Blackhawks,David Pacan,18723,1991-03-31,CAN,"6' 3""",212,R,8475293,C,North American Skater,CJHL,Cumberland,0,0
156,2009,6,178,Carolina Hurricanes,Rasmus Rissanen,20757,1991-07-13,FIN,"6' 2""",206,L,8475294,D,North American Skater,Finland Jr.,Kalpa Jr.,6,0
157,2009,6,179,Los Angeles Kings,Brandon Kozun,13012,1990-03-08,USA,"5' 8""",170,R,8475295,RW,North American Skater,WHL,Calgary,20,0
158,2009,6,180,Detroit Red Wings,Mitch Callahan,3354,1991-08-17,USA,"5' 10""",185,R,8475296,RW,North American Skater,WHL,Kelowna,5,0
159,2009,6,181,Pittsburgh Penguins,Viktor Ekbom,31235,1989-06-01,SWE,"6' 4""",211,L,8475286,D,European Skater,SWEDEN-2,Oskarshamn,0,0
160,2009,7,182,Minnesota Wild,Erik Haula,10272,1991-03-23,FIN,"6' 0""",187,L,8475287,C,North American Skater,HIGH-MN,Shattuck-St. Mary's,614,1
161,2009,7,183,Tampa Bay Lightning,Kirill Gotovets,9248,1991-06-25,BLR,"5' 11""",190,L,8475288,D,North American Skater,HIGH-MN,Shattuck-St. Mary's,0,0
162,2009,7,184,Colorado Avalanche,Gus Young,26690,1991-07-10,USA,"6' 2""",190,L,8475289,D,North American Skater,HIGH-MA,Nobles,0,0
163,2009,7,185,Atlanta Thrashers,Levko Koper,12908,1990-10-05,CAN,"6' 0""",180,L,8475290,LW,North American Skater,WHL,Spokane,0,0
164,2009,7,186,Los Angeles Kings,Jordan Nolan,18176,1989-06-23,CAN,"6' 2""",216,L,8475325,C,North American Skater,OHL,Sault Ste. Marie,375,1
165,2009,7,187,Vancouver Canucks,Steven Anthony,440,1991-03-21,CAN,"6' 2""",195,L,8475344,LW,North American Skater,QMJHL,Saint John,0,0
166,2009,7,188,Toronto Maple Leafs,Barron Smith,22798,1991-04-02,USA,"6' 5""",218,R,8475345,D,North American Skater,OHL,Peterborough,0,0
167,2009,7,189,San Jose Sharks,Marek Viedensky,25318,1990-08-18,SVK,"6' 4""",209,R,8475346,C,North American Skater,WHL,Prince George,0,0
168,2009,7,190,Ottawa Senators,Brad Peltz,19217,1989-10-02,USA,"6' 1""",185,R,8475347,LW,North American Skater,HIGH-CT,Avon Old Farms H.S.,0,0
169,2009,7,191,Ottawa Senators,Michael Sdao,22085,1989-07-03,USA,"6' 4""",221,L,8475348,D,North American Skater,USHL,Lincoln,0,0
170,2009,7,192,Nashville Predators,Cameron Reid,20495,1991-08-25,CAN,"6' 2""",194,L,8475349,C,North American Skater,BCHL,Westside,0,0
